id|rightsId|version
010007F00879F007|00000000000000000000000000000000|65536
010007F00879F008|00000000000000000000000000000000|65536
010008000C8F6800|00000000000000000000000000000000|65536
010008000EC00800|00000000000000000000000000000000|131072
010008000EC01003|00000000000000000000000000000000|0
0100082010A4E800|00000000000000000000000000000000|196608
010008300C978800|00000000000000000000000000000000|65536
01000850037C0800|00000000000000000000000000000000|131072
0100085012A0E800|00000000000000000000000000000000|131072
010008600D1AC800|00000000000000000000000000000000|65536
010008800B18A800|00000000000000000000000000000000|65536
010008900705D010|00000000000000000000000000000000|0
010008900705D011|00000000000000000000000000000000|0
010008900705D012|00000000000000000000000000000000|0
0100089010A92800|00000000000000000000000000000000|65536
010008A00F632800|00000000000000000000000000000000|196608
010008C00B2F2800|00000000000000000000000000000000|131072
010008C01010A800|00000000000000000000000000000000|131072
